	Number	lat	long	country
University Louisiana	2	30.2114404	-92.0204121	United States
University of Edinburgh	20	55.9445158	-3.1892413	United Kingdom
Vrije Universityersiteit	2	52.3337568	4.8657199	Netherlands
University Ss Cyril Methodius	1	41.99942009999999	21.4432391	Macedonia (FYROM)
Natl University Ireland	5	53.27664499999999	-9.061603	Ireland
University Lyon 1	1	45.7788727	4.8679611	France
University Duisburg Essen	4	51.4277172	6.801007999999999	Germany
Clemson University	6	34.6760942	-82.8364148	United States
University Alabama	2	33.2140233	-87.5391418	United States
University Lyon 3	1	45.748149	4.860552999999999	France
Sheffield Hallam University	4	53.3790519	-1.4660659	United Kingdom
Universityersidade Federal Fluminense	1	-22.9016321	-43.123741	Brazil
Aleksander Moisiu University	1	41.3133724	19.4342002	Albania
University of Connecticut	7	41.8077414	-72.2539805	United States
University of Technology of Compiègne	1	49.415307	2.818937	France
Charles Sturt University	2	-33.846841	151.0744347	Australia
Tulance University	1	29.95504	-90.0768769	United States
Texas Womans University	1	33.2262879	-97.1271034	United States
Historisches Seminar Der Philippsuniversityersität	1			
Ca Foscari University of Venice	2	45.434532	12.326197	Italy
France University Minnesota	1	44.9782695	-93.2344892	United States
University of Patras	1	38.28923	21.785369	Greece
James Madison University	1	38.435092	-78.8697548	United States
University Hamburg	2	53.5665641	9.984619499999999	Germany
J W Goetheuniversityersität	1			
University Palmas Gran Canaria	1	28.0990409	-15.4198576	Spain
University of Massachusetts Amherst	1	42.3911569	-72.5267121	United States
University of Cincinnati	1	39.1329219	-84.51495039999999	United States
France University Calif Berkeley	1	37.8706875	-122.2604703	United States
University Melbourne	8	-37.7963689	144.9611738	Australia
Nova University	2	26.0789364	-80.2462675	United States
Vrije University Amsterdam	1	52.3337568	4.8657199	Netherlands
Carleton University	9	45.3875812	-75.69602019999999	Canada
Hebrew University Jerusalem	2.0	31.7945578	35.2414009	
University of Wageningen	1	51.9845558	5.6657696	Netherlands
Texas Am University	11	30.618531	-96.33649899999999	United States
Alma Mater Studiorum University Bologna	1	44.4962318	11.354157	Italy
University of North Carolina	6	35.9049122	-79.0469134	United States
Middlesex University	1	51.589755	-0.228299	United Kingdom
University Oslo	7	59.9399586	10.7217496	Norway
University Connecticut	7	41.8077414	-72.2539805	United States
University of Maryland University College	1	38.9120201	-76.8477051	United States
University San Martin	1	39.3316992	-76.6234229	United States
University Cantabria	2	43.471405	-3.804062	Spain
Czech Republic Charles University In Prague	1	50.0871106	14.4234889	Czechia
University Siena	1	41.9057124	-84.0175653	United States
Sam Houston State Universityersitytx	1	30.7131978	-95.5503566	United States
